seed,phase_C_tick,cv_pre,cv_post,delta
0,5150,0.9223399999999999,0.24692000000000003,-0.6754199999999999
1,5300,0.92448,0.24383999999999997,-0.68064
2,9650,0.24987999999999996,0.17926999999999998,-0.07060999999999998
3,4200,0.44837,0.08776000000000002,-0.36061
4,4850,0.9126799999999999,0.1432,-0.7694799999999999
5,4400,0.11579999999999999,0.90983,0.79403
6,8850,0.26301,0.2165,-0.046510000000000024
7,4900,0.92045,0.22001999999999997,-0.70043
8,3900,0.74045,0.1477,-0.5927500000000001
9,4350,0.9103199999999999,0.11900999999999999,-0.79131
10,3700,0.9125400000000001,0.12096,-0.7915800000000002
11,3700,0.91684,0.13961,-0.77723
12,8100,0.25512999999999997,0.24979999999999997,-0.005330000000000001
13,4800,0.92088,0.22778,-0.6931
14,4250,0.90858,0.10056000000000001,-0.8080200000000001
16,3900,0.9092399999999999,0.1268,-0.7824399999999999
17,3650,0.91629,0.15792,-0.75837
18,4100,0.91876,0.18689999999999998,-0.7318600000000001
19,4850,0.9242699999999999,0.24614000000000003,-0.6781299999999999
20,3900,0.91273,0.14175000000000001,-0.77098
21,4200,0.27362000000000003,0.08708999999999999,-0.18653000000000003
22,4150,0.90696,0.08803,-0.8189299999999999
23,5300,0.92355,0.22479999999999997,-0.69875
24,4650,0.91647,0.18918,-0.72729
25,4850,0.92072,0.2117,-0.70902
26,4050,0.29498,0.10813999999999999,-0.18684000000000003
27,3800,0.91371,0.11378999999999999,-0.7999200000000001
28,5700,0.91784,0.19332000000000002,-0.7245199999999999
29,4750,0.9176,0.17462,-0.74298
30,4350,0.91546,0.15586999999999995,-0.7595900000000001
31,4700,0.91626,0.15499999999999997,-0.76126
32,4850,0.9189,0.19631999999999997,-0.7225800000000001
33,3650,0.9135899999999999,0.10629999999999999,-0.80729
34,5350,0.9213699999999999,0.23190999999999998,-0.68946
35,4850,0.9185700000000001,0.21961,-0.6989600000000001
36,4800,0.9186099999999999,0.20476,-0.7138499999999999
37,4850,0.9183899999999999,0.19561,-0.72278
38,3900,0.91143,0.13137,-0.78006
40,4750,0.917,0.18458999999999998,-0.73241
41,4000,0.9102499999999999,0.10664,-0.8036099999999999
42,3700,0.91515,0.1443,-0.77085
43,3800,0.91238,0.11838,-0.7939999999999999
45,4400,0.9171099999999999,0.16543,-0.7516799999999999
46,3900,0.9075300000000001,0.10311000000000001,-0.80442
47,4300,0.9131,0.1378,-0.7753
48,3850,0.9115800000000001,0.11148000000000002,-0.8001
49,3750,0.91266,0.1365,-0.77616
50,4200,0.91285,0.14087,-0.7719800000000001
51,4400,0.9185399999999999,0.17559999999999998,-0.7429399999999999
52,4400,0.91403,0.14055,-0.77348
53,4000,0.9093600000000001,0.10817999999999998,-0.8011800000000001
54,3750,0.91034,0.11304,-0.7973
55,5350,0.92096,0.20644,-0.71452
56,4800,0.92052,0.20514000000000002,-0.71538
57,4750,0.9158200000000001,0.15819999999999998,-0.7576200000000001
58,3800,0.9122600000000001,0.13322000000000003,-0.7790400000000001
59,5350,0.92282,0.2293,-0.6935199999999999
60,4150,0.54443,0.08002000000000001,-0.46441
61,4650,0.9159200000000001,0.16677,-0.7491500000000001
62,3800,0.90861,0.08706,-0.82155
63,4850,0.91761,0.19956999999999997,-0.71804
64,4300,0.9153399999999999,0.15079,-0.76455
65,4400,0.91249,0.14378000000000002,-0.76871
66,3900,0.91112,0.11723999999999998,-0.79388
67,4200,0.91646,0.14831,-0.7681500000000001
68,4000,0.6450199999999999,0.1179,-0.5271199999999999
69,3700,0.9141299999999999,0.13165999999999997,-0.7824699999999999
70,4000,0.91092,0.10259,-0.80833
71,4400,0.91388,0.15858,-0.7553000000000001
72,4300,0.9129099999999999,0.14772,-0.7651899999999999
73,3850,0.90672,0.05619999999999999,-0.8505199999999999
74,4200,0.91177,0.13282,-0.77895
75,4250,0.91288,0.13033,-0.7825500000000001
76,4800,0.91851,0.22143000000000002,-0.69708
77,4300,0.91167,0.13254000000000002,-0.77913
