seed,phase_C_tick,cv_early,cv_late,delta
1,4650,0.24564999999999992,0.2717199999999999,0.026069999999999982
2,4150,0.15932999999999997,0.30992499999999995,0.15059499999999998
3,5350,0.20416499999999999,0.166035,-0.03813
4,4300,0.1688,0.2847100000000001,0.11591000000000007
5,5400,0.1789,0.15154,-0.027359999999999995
6,3800,0.17499999999999996,0.34541499999999997,0.170415
7,5250,0.19016000000000002,0.16451500000000002,-0.025645
9,3750,0.08970000000000003,0.32966500000000004,0.239965
10,4300,0.14420000000000002,0.273535,0.12933499999999995
11,5350,0.18230000000000002,0.162755,-0.019545000000000007
13,5300,0.20939999999999998,0.188335,-0.021064999999999973
16,3900,0.12720000000000004,0.3181999999999999,0.1909999999999999
17,4500,0.17289999999999997,0.22780000000000006,0.05490000000000009
18,4700,0.23339999999999997,0.23779500000000003,0.0043950000000000655
19,5400,0.2218,0.18563500000000005,-0.03616499999999995
20,4400,0.14040000000000002,0.28198,0.14157999999999998
22,4600,0.22919999999999993,0.24719999999999995,0.018000000000000016
23,4000,0.12190000000000001,0.28991999999999996,0.16801999999999995
24,5000,0.24857500000000005,0.24894,0.0003649999999999487
25,5050,0.2591,0.21669,-0.04241
26,4150,0.12910000000000005,0.37969,0.25059
27,3450,0.19333499999999998,0.38825,0.194915
28,5400,0.1753,0.13937499999999997,-0.03592500000000004
29,3900,0.139315,0.345145,0.20582999999999999
30,5200,0.25567,0.24990500000000004,-0.005764999999999965
31,4400,0.17019999999999996,0.25683000000000006,0.0866300000000001
32,5400,0.24579999999999996,0.210085,-0.03571499999999997
33,5350,0.2428,0.200305,-0.04249499999999998
34,5000,0.2405,0.22562,-0.014880000000000004
35,3750,0.07877,0.2708500000000001,0.19208000000000008
36,3800,0.12420000000000002,0.33104999999999996,0.20684999999999992
37,4300,0.14950000000000002,0.25758000000000003,0.10808000000000001
38,4800,0.1896,0.21542499999999998,0.025824999999999987
39,4750,0.23010000000000003,0.24545000000000003,0.015350000000000003
40,4350,0.1715,0.258415,0.08691499999999999
42,5350,0.23440000000000003,0.19459500000000002,-0.03980500000000001
44,4900,0.22634000000000004,0.20730999999999997,-0.019030000000000075
45,5300,0.2223,0.19136999999999998,-0.030930000000000013
46,3800,0.12679999999999997,0.326005,0.19920500000000002
47,5400,0.20049999999999998,0.156475,-0.04402499999999998
48,4850,0.26813999999999993,0.2491750000000001,-0.018964999999999843
49,4950,0.24629999999999996,0.24595000000000006,-0.00034999999999990594
50,5250,0.19151999999999997,0.16551,-0.026009999999999978
51,4800,0.2446499999999999,0.254155,0.009505000000000124
54,4000,0.09990000000000002,0.298305,0.19840499999999997
57,3750,0.128825,0.36654500000000007,0.23772000000000007
58,5150,0.23869999999999997,0.21776,-0.02093999999999996
59,4100,0.1315,0.29730500000000004,0.16580500000000004
60,5450,0.23899999999999996,0.20889000000000002,-0.030109999999999942
61,5250,0.21236000000000002,0.17400500000000002,-0.038355
63,5450,0.22139999999999999,0.16552,-0.055879999999999985
64,4450,0.1688,0.26121,0.09240999999999999
67,3900,0.1032,0.34895499999999996,0.24575499999999995
68,4800,0.23165999999999998,0.23835499999999996,0.006694999999999979
70,5050,0.2105,0.21719,0.0066900000000000015
