seed,phase_C_tick,phase_D_tick,reached_D,delta_cv
0,5550,-1,False,-0.04134999999999994
1,4650,6400,True,0.026069999999999982
2,4150,6150,True,0.15059499999999998
3,5350,7000,True,-0.03813
4,4300,6000,True,0.11591000000000007
5,5400,7100,True,-0.027359999999999995
6,3800,5350,True,0.170415
7,5250,6950,True,-0.025645
8,5600,-1,False,-0.06345789473684213
9,3750,5500,True,0.239965
10,4300,5850,True,0.12933499999999995
11,5350,-1,False,-0.019545000000000007
12,5600,7050,True,-0.049131578947368415
13,5300,8850,True,-0.021064999999999973
14,5550,-1,False,-0.05321499999999996
16,3900,5500,True,0.1909999999999999
17,4500,6000,True,0.05490000000000009
18,4700,-1,False,0.0043950000000000655
19,5400,-1,False,-0.03616499999999995
20,4400,6150,True,0.14157999999999998
21,5600,-1,False,-0.03713263157894742
22,4600,-1,False,0.018000000000000016
23,4000,5750,True,0.16801999999999995
24,5000,-1,False,0.0003649999999999487
25,5050,-1,False,-0.04241
26,4150,5750,True,0.25059
27,3450,5400,True,0.194915
28,5400,7050,True,-0.03592500000000004
29,3900,5250,True,0.20582999999999999
30,5200,-1,False,-0.005764999999999965
31,4400,5750,True,0.0866300000000001
32,5400,-1,False,-0.03571499999999997
33,5350,-1,False,-0.04249499999999998
34,5000,-1,False,-0.014880000000000004
35,3750,5000,True,0.19208000000000008
36,3800,5450,True,0.20684999999999992
37,4300,5950,True,0.10808000000000001
38,4800,-1,False,0.025824999999999987
39,4750,6300,True,0.015350000000000003
40,4350,6100,True,0.08691499999999999
41,5550,-1,False,-0.048425000000000024
42,5350,-1,False,-0.03980500000000001
43,6050,-1,False,-0.07772000000000004
44,4900,-1,False,-0.019030000000000075
45,5300,-1,False,-0.030930000000000013
46,3800,5750,True,0.19920500000000002
47,5400,-1,False,-0.04402499999999998
48,4850,-1,False,-0.018964999999999843
49,4950,8450,True,-0.00034999999999990594
50,5250,6850,True,-0.026009999999999978
51,4800,-1,False,0.009505000000000124
53,5800,-1,False,-0.06291666666666663
54,4000,5350,True,0.19840499999999997
56,5600,7300,True,-0.051515000000000005
57,3750,5100,True,0.23772000000000007
