seed,phase_C_tick,population,mean_s,mean_cv,resource
0,5550,41,0.6746,0.1885,27.42
1,4650,39,0.7072,0.2088,29.51
2,4150,36,0.4353,0.0936,35.14
3,5350,36,0.8471,0.1974,30.24
4,4300,40,0.4261,0.1751,30.78
5,5400,42,0.6223,0.1679,26.93
6,3800,29,0.2993,0.1607,51.06
7,5250,45,0.5172,0.194,26.83
8,5600,48,0.4852,0.2127,25.96
9,3750,27,0.411,0.1437,47.75
10,4300,39,0.4884,0.1278,31.03
11,5350,44,0.5834,0.1586,26.22
12,5600,49,0.4413,0.2136,23.91
13,5300,41,0.6695,0.1718,26.82
14,5550,41,0.6111,0.242,26.41
15,9550,43,0.7198,0.2228,26.61
16,3900,31,0.2921,0.061,46.49
17,4500,46,0.3614,0.1405,26.37
18,4700,46,0.4246,0.2076,27.32
19,5400,42,0.5443,0.1933,26.44
20,4400,36,0.3799,0.1264,34.53
21,5600,41,0.6888,0.179,26.96
22,4600,39,0.7037,0.2288,29.86
23,4000,27,0.5382,0.0984,47.82
24,5000,40,0.8044,0.2184,27.14
25,5050,38,0.5834,0.2463,26.4
26,4150,40,0.3103,0.1291,30.67
27,3450,19,0.6026,0.1831,64.35
28,5400,40,0.6096,0.1722,30.57
29,3900,30,0.3839,0.0902,42.62
30,5200,50,0.4925,0.1747,23.85
31,4400,45,0.3683,0.1466,26.56
32,5400,43,0.5599,0.2368,24.79
33,5350,44,0.559,0.2315,25.73
34,5000,42,0.5279,0.2289,25.97
35,3750,23,0.3162,0.1108,55.73
36,3800,27,0.3746,0.1024,46.86
37,4300,39,0.3794,0.13,32.33
38,4800,41,0.581,0.1581,29.77
39,4750,44,0.5715,0.1975,26.33
40,4350,36,0.4202,0.1165,35.58
41,5550,42,0.5636,0.2306,26.1
42,5350,40,0.6966,0.2261,25.55
43,6050,38,0.7643,0.2497,27.84
44,4900,40,0.7255,0.2357,27.59
45,5300,44,0.5834,0.1713,25.17
46,3800,26,0.4673,0.1107,49.59
47,5400,40,0.5404,0.2023,26.57
48,4850,43,0.5789,0.2049,25.44
49,4950,44,0.5233,0.2264,25.15
50,5250,39,0.6711,0.1981,30.33
51,4800,46,0.5243,0.2297,24.12
52,9600,40,0.8131,0.2237,26.64
53,5800,37,0.8108,0.1942,27.68
54,4000,28,0.5866,0.0847,41.28
55,7550,44,0.5565,0.2481,25.05
56,5600,41,0.6143,0.1591,28.11
57,3750,25,0.5163,0.1428,49.35
58,5150,48,0.4948,0.2282,24.14
