seed,phase_C,phase_D,reached_D,max_ticks,prod_early,prod_late,prod_delta,prod_ndef_early,prod_ntot_early,prod_ndef_late,prod_ntot_late,fix_early,fix_late,fix_delta,fix_ndef_early,fix_ntot_early,fix_ndef_late,fix_ntot_late
0,5550,-1,False,10000,0.175962,0.134602,-0.041359,20,20,20,20,,0.196901,,0,20,4,20
1,4650,6400,True,10000,0.245636,0.271701,0.026066,20,20,20,20,,,,0,20,0,20
2,4150,6150,True,10000,0.159299,0.309924,0.150625,20,20,20,20,,0.340939,,0,20,3,20
3,5350,7000,True,10000,0.204132,0.166012,-0.03812,20,20,20,20,,,,0,20,0,20
4,4300,6000,True,10000,0.16883,0.284691,0.115862,20,20,20,20,,0.314161,,0,20,6,20
5,5400,7100,True,10000,0.178887,0.151546,-0.027341,20,20,20,20,,0.194611,,0,20,7,20
6,3800,5350,True,10000,0.175038,0.345437,0.170398,20,20,20,20,,0.357477,,0,20,15,20
7,5250,6950,True,10000,0.190167,0.164524,-0.025643,20,20,20,20,,0.205281,,0,20,5,20
8,5600,-1,False,10000,0.204797,0.141325,-0.063472,20,20,19,19,,0.193068,,0,20,6,19
9,3750,5500,True,10000,0.089738,0.329662,0.239924,20,20,20,20,,0.3347,,0,20,6,20
10,4300,5850,True,10000,0.144182,0.273536,0.129353,20,20,20,20,,0.276013,,0,20,10,20
11,5350,-1,False,10000,0.182319,0.16277,-0.019549,20,20,20,20,,0.186303,,0,20,10,20
12,5600,7050,True,10000,0.209841,0.160682,-0.049159,20,20,19,19,,0.207477,,0,20,3,19
13,5300,8850,True,10000,0.209408,0.188312,-0.021096,20,20,20,20,,0.215099,,0,20,7,20
14,5550,-1,False,10000,0.247773,0.194584,-0.053189,20,20,20,20,,0.231145,,0,20,6,20
15,9550,-1,False,10000,,,,0,0,0,0,,,,0,0,0,0
16,3900,5500,True,10000,0.127246,0.318206,0.19096,20,20,20,20,,0.307137,,0,20,9,20
17,4500,6000,True,10000,0.172869,0.227789,0.05492,20,20,20,20,,0.270177,,0,20,9,20
18,4700,-1,False,10000,0.233379,0.237793,0.004414,20,20,20,20,,0.270048,,0,20,8,20
19,5400,-1,False,10000,0.221762,0.18564,-0.036122,20,20,20,20,,0.225262,,0,20,2,20
20,4400,6150,True,10000,0.140353,0.282,0.141647,20,20,20,20,,0.289275,,0,20,7,20
21,5600,-1,False,10000,0.185902,0.148743,-0.037159,20,20,19,19,,0.195765,,0,20,3,19
22,4600,-1,False,10000,0.22922,0.247223,0.018003,20,20,20,20,,0.262461,,0,20,8,20
23,4000,5750,True,10000,0.121883,0.289904,0.168021,20,20,20,20,,0.300775,,0,20,8,20
24,5000,-1,False,10000,0.248566,0.248949,0.000383,20,20,20,20,,0.26175,,0,20,2,20
25,5050,-1,False,10000,0.259147,0.216682,-0.042466,20,20,20,20,,0.235842,,0,20,12,20
26,4150,5750,True,10000,0.129144,0.379675,0.250532,20,20,20,20,,0.37543,,0,20,4,20
27,3450,5400,True,10000,0.193308,0.388264,0.194956,20,20,20,20,,0.389096,,0,20,20,20
28,5400,7050,True,10000,0.175333,0.139371,-0.035961,20,20,20,20,,0.182627,,0,20,9,20
29,3900,5250,True,10000,0.139305,0.345147,0.205842,20,20,20,20,,0.342937,,0,20,8,20
30,5200,-1,False,10000,0.255666,0.249938,-0.005729,20,20,20,20,,0.24033,,0,20,4,20
31,4400,5750,True,10000,0.17021,0.256851,0.086641,20,20,20,20,,0.26993,,0,20,9,20
