seed,phase_C,phase_D,reached_D,max_ticks,prod_early,prod_late,prod_delta,prod_ndef_early,prod_ntot_early,prod_ndef_late,prod_ntot_late,fix_early,fix_late,fix_delta,fix_ndef_early,fix_ntot_early,fix_ndef_late,fix_ntot_late
0,5550,-1,False,10000,0.175962,0.134602,-0.041359,20,20,20,20,0.175962,0.095133,-0.080829,20,20,20,20
1,4650,6400,True,10000,0.245636,0.271701,0.026066,20,20,20,20,0.245636,0.270635,0.024999,20,20,20,20
2,4150,6150,True,10000,0.159299,0.309924,0.150625,20,20,20,20,0.159299,0.31208,0.152781,20,20,20,20
3,5350,7000,True,10000,0.204132,0.166012,-0.03812,20,20,20,20,0.204132,0.126628,-0.077504,20,20,20,20
4,4300,6000,True,10000,0.16883,0.284691,0.115862,20,20,20,20,0.16883,0.279839,0.111009,20,20,20,20
5,5400,7100,True,10000,0.178887,0.151546,-0.027341,20,20,20,20,0.178887,0.117107,-0.06178,20,20,20,20
6,3800,5350,True,10000,0.175038,0.345437,0.170398,20,20,20,20,0.175038,0.337711,0.162672,20,20,20,20
7,5250,6950,True,10000,0.190167,0.164524,-0.025643,20,20,20,20,0.190167,0.128831,-0.061336,20,20,20,20
8,5600,-1,False,10000,0.204797,0.141325,-0.063472,20,20,19,19,0.204797,0.099684,-0.105113,20,20,19,19
9,3750,5500,True,10000,0.089738,0.329662,0.239924,20,20,20,20,0.089738,0.332897,0.243159,20,20,20,20
10,4300,5850,True,10000,0.144182,0.273536,0.129353,20,20,20,20,0.144182,0.264009,0.119827,20,20,20,20
11,5350,-1,False,10000,0.182319,0.16277,-0.019549,20,20,20,20,0.182319,0.13104,-0.051278,20,20,20,20
12,5600,7050,True,10000,0.209841,0.160682,-0.049159,20,20,19,19,0.209841,0.114082,-0.095759,20,20,19,19
13,5300,8850,True,10000,0.209408,0.188312,-0.021096,20,20,20,20,0.209408,0.155097,-0.054311,20,20,20,20
14,5550,-1,False,10000,0.247773,0.194584,-0.053189,20,20,20,20,0.247773,0.157924,-0.089848,20,20,20,20
15,9550,-1,False,10000,,,,0,0,0,0,,,,0,0,0,0
16,3900,5500,True,10000,0.127246,0.318206,0.19096,20,20,20,20,0.127246,0.311623,0.184377,20,20,20,20
17,4500,6000,True,10000,0.172869,0.227789,0.05492,20,20,20,20,0.172869,0.212357,0.039488,20,20,20,20
18,4700,-1,False,10000,0.233379,0.237793,0.004414,20,20,20,20,0.233379,0.222812,-0.010567,20,20,20,20
19,5400,-1,False,10000,0.221762,0.18564,-0.036122,20,20,20,20,0.221762,0.145422,-0.076339,20,20,20,20
20,4400,6150,True,10000,0.140353,0.282,0.141647,20,20,20,20,0.140353,0.276887,0.136534,20,20,20,20
21,5600,-1,False,10000,0.185902,0.148743,-0.037159,20,20,19,19,0.185902,0.108737,-0.077164,20,20,19,19
22,4600,-1,False,10000,0.22922,0.247223,0.018003,20,20,20,20,0.22922,0.235791,0.006571,20,20,20,20
23,4000,5750,True,10000,0.121883,0.289904,0.168021,20,20,20,20,0.121883,0.284823,0.16294,20,20,20,20
24,5000,-1,False,10000,0.248566,0.248949,0.000383,20,20,20,20,0.248566,0.227224,-0.021342,20,20,20,20
25,5050,-1,False,10000,0.259147,0.216682,-0.042466,20,20,20,20,0.259147,0.183651,-0.075496,20,20,20,20
26,4150,5750,True,10000,0.129144,0.379675,0.250532,20,20,20,20,0.129144,0.381099,0.251955,20,20,20,20
27,3450,5400,True,10000,0.193308,0.388264,0.194956,20,20,20,20,0.19647,0.398102,0.201632,20,20,20,20
28,5400,7050,True,10000,0.175333,0.139371,-0.035961,20,20,20,20,0.175333,0.095333,-0.079999,20,20,20,20
29,3900,5250,True,10000,0.139305,0.345147,0.205842,20,20,20,20,0.139305,0.342564,0.203258,20,20,20,20
30,5200,-1,False,10000,0.255666,0.249938,-0.005729,20,20,20,20,0.255666,0.230916,-0.024751,20,20,20,20
31,4400,5750,True,10000,0.17021,0.256851,0.086641,20,20,20,20,0.17021,0.238355,0.068145,20,20,20,20
32,5400,-1,False,10000,0.24579,0.210098,-0.035693,20,20,20,20,0.24579,0.184293,-0.061498,20,20,20,20
33,5350,-1,False,10000,0.242849,0.200291,-0.042558,20,20,20,20,0.242849,0.173834,-0.069015,20,20,20,20
34,5000,-1,False,10000,0.240483,0.225609,-0.014873,20,20,20,20,0.240483,0.19613,-0.044353,20,20,20,20
35,3750,5000,True,10000,0.078753,0.270828,0.192075,20,20,20,20,0.078753,0.266551,0.187798,20,20,20,20
36,3800,5450,True,10000,0.124199,0.331073,0.206875,20,20,20,20,0.124199,0.317419,0.19322,20,20,20,20
