geom,seed,sample_interval,max_ticks,gated_B,gated_C,gated_D,gated_delay,gated_clock_first,ungated_B,ungated_C,cosat,ungated_delay,ungated_clock_first,final_phase,final_pop,final_mean_s,final_mean_cv,total_divisions,elapsed_s
1d,0,1,80000,5084,5085,-1,1,True,5084,1261,5084,-3823,False,C,39,0.8214,0.0415,1227,557.8
1d,1,1,80000,5241,5242,-1,1,True,5241,520,5241,-4721,False,C,37,0.81,0.0414,1206,522.8
1d,2,1,80000,5333,5334,-1,1,True,5333,560,5333,-4773,False,C,40,0.7635,0.0411,1215,539.2
1d,3,1,80000,3879,4197,5038,318,True,3879,2391,4197,-1488,False,D,39,0.7806,0.0407,1208,530.8
1d,4,1,80000,4796,4797,6545,1,True,4796,1301,4796,-3495,False,D,38,0.7447,0.0408,1198,519.0
1d,5,1,80000,3745,4379,5214,634,True,3745,4379,4379,634,True,D,37,0.8643,0.0431,1203,526.0
1d,6,1,80000,8796,8797,-1,1,True,8796,1290,8796,-7506,False,C,37,0.8525,0.0393,1211,535.9
1d,7,1,80000,4802,4803,12574,1,True,4802,1299,4802,-3503,False,D,37,0.8307,0.0413,1200,518.8
1d,8,1,80000,3737,3871,5149,134,True,3737,2245,3871,-1492,False,D,41,0.6983,0.0445,1211,526.5
1d,9,1,80000,4281,4282,5645,1,True,4281,1376,4281,-2905,False,D,36,0.8851,0.0392,1205,527.3
1d,10,1,80000,3627,3628,5295,1,True,3627,2197,3627,-1430,False,D,42,0.691,0.0414,1214,532.8
1d,11,1,80000,3643,3644,5067,1,True,3643,2353,3643,-1290,False,D,38,0.8094,0.0425,1209,523.9
1d,12,1,80000,8018,8019,-1,1,True,8018,560,8018,-7458,False,C,43,0.7004,0.0419,1214,541.0
1d,13,1,80000,4712,4713,29656,1,True,4712,1282,4712,-3430,False,D,36,0.8422,0.0393,1212,528.2
1d,14,1,80000,4165,4166,5645,1,True,4165,1360,4165,-2805,False,D,39,0.7376,0.0421,1204,523.0
1d,15,1,80000,3869,-1,-1,,True,3869,-1,-1,,,B,20,0.0,0.0847,1059,232.6
1d,16,1,80000,3839,3840,10446,1,True,3839,2222,3839,-1617,False,D,37,0.8603,0.0409,1211,534.6
1d,17,1,80000,3594,3595,5149,1,True,3594,2247,3594,-1347,False,D,43,0.6776,0.04,1213,528.2
1d,18,1,80000,4033,4034,5370,1,True,4033,1615,4033,-2418,False,D,38,0.8296,0.0399,1216,632.1
1d,19,1,80000,4761,4762,-1,1,True,4761,1257,4761,-3504,False,C,37,0.8528,0.0405,1203,615.0
1d,20,1,80000,3843,3844,5212,1,True,3843,2320,3843,-1523,False,D,37,0.7584,0.0408,1205,614.8
1d,21,1,80000,3800,4183,4964,383,True,3800,2360,4183,-1440,False,D,37,0.8264,0.0417,1213,619.3
1d,22,1,80000,4081,4082,5827,1,True,4081,1385,4081,-2696,False,D,37,0.779,0.0406,1203,615.4
