imposed_cv,imposed_T,seed,max_ticks,steady_S,final_S,S_crossed,S_cross_tick,measured_cv,final_pop,total_div,n_rv,rv_median,pct_premature,S_q1,S_q2,S_q3,S_q4,S_q5
0.0,200,0,20000,nan,0.0677,0,-1,0.0,0,306,306,0.5936,100.0,0.0456,,,,
0.0,200,1,20000,nan,0.0384,0,-1,0.0,0,130,130,0.5986,100.0,0.0331,,,,
0.0,200,2,20000,nan,0.0382,0,-1,0.0,0,104,104,0.6087,100.0,0.0327,,,,
0.0,200,3,20000,nan,0.0297,0,-1,0.0,0,194,194,0.5802,100.0,0.0286,,,,
0.0,200,4,20000,nan,0.0677,0,-1,0.0,0,254,254,0.5917,100.0,0.042,,,,
0.0,200,5,20000,nan,0.0,0,-1,0.0,0,128,128,0.5557,100.0,0.0,,,,
0.0,200,6,20000,nan,0.0677,0,-1,0.0,0,204,204,0.5882,100.0,0.0408,,,,
0.0,200,7,20000,nan,0.0677,0,-1,0.0,0,306,306,0.5887,100.0,0.0456,,,,
0.0,200,8,20000,nan,0.0384,0,-1,0.0,0,131,131,0.5771,100.0,0.0332,,,,
0.0,200,9,20000,nan,0.0678,0,-1,0.0,0,128,128,0.5718,100.0,0.0316,,,,
0.0,200,10,20000,nan,0.0384,0,-1,0.0,0,130,130,0.5766,100.0,0.0332,,,,
0.0,200,11,20000,nan,0.0384,0,-1,0.0,0,132,132,0.5613,100.0,0.0334,,,,
0.0,200,12,20000,nan,0.0381,0,-1,0.0,0,104,104,0.5829,100.0,0.0329,,,,
0.0,200,13,20000,nan,0.0677,0,-1,0.0,0,203,203,0.581,100.0,0.0408,,,,
0.0,200,14,20000,nan,0.0678,0,-1,0.0,0,131,131,0.5763,100.0,0.0334,,,,
0.0,200,15,20000,nan,0.0,0,-1,1.0,0,56,56,0.568,100.0,0.0,,,,
0.0,200,16,20000,nan,0.0384,0,-1,0.0,0,129,129,0.5618,100.0,0.0333,,,,
0.0,200,17,20000,nan,0.0384,0,-1,0.0,0,130,130,0.5929,100.0,0.0332,,,,
0.0,200,18,20000,nan,0.0384,0,-1,0.0,0,131,131,0.5633,100.0,0.0332,,,,
0.0,200,19,20000,nan,0.0677,0,-1,0.0,0,307,307,0.5905,100.0,0.0455,,,,
0.0,200,20,20000,nan,0.0384,0,-1,0.0,0,200,200,0.5709,100.0,0.0362,,,,
0.0,200,21,20000,nan,0.0384,0,-1,0.0,0,134,134,0.5776,100.0,0.0333,,,,
0.0,200,22,20000,nan,0.0678,0,-1,0.0,0,131,131,0.5784,100.0,0.0335,,,,
0.0,200,23,20000,nan,0.0384,0,-1,0.0,0,188,188,0.576,100.0,0.0412,,,,
0.0,200,24,20000,nan,0.038,0,-1,0.0,0,205,205,0.5872,100.0,0.038,,,,
0.0,400,0,20000,0.2655,0.0955,1,1000,0.0,66,1099,1099,0.4953,100.0,0.225,0.2676,0.2715,0.2676,0.2676
0.0,400,1,20000,0.2621,0.0936,1,1000,0.0,52,1012,1012,0.4995,100.0,0.226,0.2657,0.268,0.264,0.2642
0.0,400,2,20000,nan,0.194,1,1000,0.0,0,163,163,0.504,100.0,0.2051,,,,
0.0,400,3,20000,nan,0.1938,1,1000,0.0,0,114,114,0.4292,100.0,0.1813,,,,
0.0,400,4,20000,0.2654,0.0982,1,1000,0.0,48,1008,1008,0.4928,100.0,0.2159,0.2675,0.2698,0.2668,0.2675
0.0,400,5,20000,nan,0.0,0,-1,1.0,0,45,45,0.4266,100.0,0.0,,,,
0.0,400,6,20000,0.2655,0.0955,1,1000,0.0,66,1099,1099,0.5002,100.0,0.2251,0.2676,0.2715,0.2676,0.2676
0.0,400,7,20000,0.2655,0.0955,1,1000,0.0,66,1099,1099,0.5024,100.0,0.2251,0.2676,0.2715,0.2676,0.2676
0.0,400,8,20000,nan,0.1939,1,1000,0.0,0,111,111,0.4476,100.0,0.1754,,,,
0.0,400,9,20000,0.2695,0.0985,1,1000,0.0,36,918,918,0.523,100.0,0.2215,0.272,0.2716,0.2716,0.2716
0.0,400,10,20000,nan,0.1939,1,1000,0.0,0,111,111,0.437,100.0,0.1754,,,,
0.0,400,11,20000,nan,0.1938,1,1000,0.0,0,114,114,0.4322,100.0,0.1812,,,,
0.0,400,12,20000,0.2641,0.0983,1,1000,0.0,22,1080,1080,0.4974,100.0,0.2263,0.2702,0.2653,0.2658,0.2662
0.0,400,13,20000,nan,0.1938,1,1000,0.0,0,179,179,0.4718,100.0,0.2068,,,,
0.0,400,14,20000,0.2688,0.0981,1,1000,0.0,36,918,918,0.5213,100.0,0.2231,0.2713,0.271,0.271,0.2709
0.0,400,15,20000,nan,0.0,0,-1,1.0,0,45,45,0.4315,100.0,0.0,,,,
0.0,400,16,20000,nan,0.1939,1,1000,0.0,0,111,111,0.4487,100.0,0.1754,,,,
0.0,400,17,20000,nan,0.1939,1,1000,0.0,0,111,111,0.449,100.0,0.1754,,,,
0.0,400,18,20000,nan,0.1939,1,1000,0.0,0,111,111,0.4425,100.0,0.1754,,,,
0.0,400,19,20000,nan,0.1938,1,1000,0.0,0,179,179,0.4799,100.0,0.2073,,,,
0.0,400,20,20000,nan,0.1939,1,1000,0.0,0,111,111,0.4452,100.0,0.1754,,,,
0.0,400,21,20000,nan,0.1938,1,1000,0.0,0,114,114,0.4384,100.0,0.1813,,,,
0.0,400,22,20000,0.2695,0.0985,1,1000,0.0,36,918,918,0.5208,100.0,0.2233,0.272,0.2716,0.2716,0.2716
0.0,400,23,20000,0.2677,0.0985,1,1000,0.0,24,1004,1004,0.4958,100.0,0.2225,0.2698,0.2668,0.2676,0.2698
0.0,400,24,20000,0.2694,0.0985,1,1000,0.0,36,918,918,0.5194,100.0,0.2215,0.2722,0.2717,0.2716,0.2715
0.0,800,0,20000,0.538,0.135,1,1350,0.0,64,642,642,0.3684,99.8,0.3826,0.5431,0.5477,0.5411,0.5431
0.0,800,1,20000,0.5346,0.1364,1,600,0.0,34,645,645,0.3616,99.8,0.3969,0.5345,0.5399,0.5323,0.5396
0.0,800,2,20000,0.5389,0.1365,1,600,0.0,48,588,588,0.3857,100.0,0.4057,0.5439,0.5439,0.5439,0.5439
0.0,800,3,20000,0.5362,0.1365,1,1850,0.0,64,603,603,0.3764,98.8,0.3263,0.541,0.5431,0.5477,0.5412
0.0,800,4,20000,0.5468,0.1364,1,1350,0.0,56,661,661,0.4023,100.0,0.3623,0.5454,0.5519,0.5519,0.5519
