imposed_cv,imposed_T,seed,max_ticks,steady_S,final_S,S_crossed,S_cross_tick,measured_cv,final_pop,total_div,n_rv,rv_median,pct_premature,S_q1,S_q2,S_q3,S_q4,S_q5
0.05,400,0,30000,0.2783,0.2118,1,1000,0.045,31,1547,1547,0.533,100.0,0.2565,0.2739,0.2739,0.2743,0.2789
0.05,400,1,30000,0.2756,0.2227,1,1050,0.0435,32,1572,1572,0.5242,100.0,0.2563,0.2779,0.2747,0.2796,0.2761
0.05,400,2,30000,0.2705,0.2449,1,1000,0.0456,30,1538,1538,0.5303,100.0,0.2582,0.2739,0.2698,0.2733,0.2707
0.05,400,3,30000,0.2705,0.3184,1,1000,0.0459,27,1485,1485,0.5318,100.0,0.2442,0.2772,0.2727,0.2728,0.2701
0.05,3200,0,30000,0.8367,0.8737,1,1000,0.0418,37,253,253,0.1206,0.0,0.299,0.8076,0.8434,0.8391,0.8364
0.05,3200,1,30000,0.8356,0.868,1,500,0.0456,37,262,262,0.123,0.0,0.4368,0.8154,0.8349,0.8321,0.8353
0.05,3200,2,30000,0.8454,0.972,1,600,0.0417,35,255,255,0.122,0.0,0.416,0.8116,0.8505,0.847,0.8444
0.05,3200,3,30000,0.8457,0.8216,1,7650,0.0341,36,212,212,0.1078,0.0,0.0762,0.2732,0.6896,0.8485,0.8459
0.5,400,0,30000,0.3081,0.3419,1,1250,0.3704,28,1715,1715,0.5531,100.0,0.2585,0.2884,0.3019,0.2923,0.3079
0.5,400,1,30000,0.3091,0.275,1,1150,0.3724,29,1700,1700,0.5492,99.9,0.2561,0.308,0.3084,0.296,0.3094
0.5,400,2,30000,0.304,0.2884,1,850,0.5044,27,1691,1691,0.5417,100.0,0.2714,0.2993,0.2969,0.3098,0.3041
0.5,400,3,30000,0.278,0.3312,1,1500,0.3565,24,1686,1686,0.5449,100.0,0.2472,0.3126,0.3066,0.3022,0.2775
0.5,3200,0,30000,0.8306,0.8947,1,1800,0.3637,35,250,250,0.126,37.2,0.282,0.752,0.8374,0.8356,0.8301
0.5,3200,1,30000,0.8269,0.8278,1,500,0.3741,37,249,249,0.1292,35.3,0.3607,0.8125,0.8335,0.8446,0.8269
0.5,3200,2,30000,0.8363,0.8626,1,600,0.4161,35,275,275,0.1314,35.3,0.3591,0.8223,0.8237,0.8344,0.8361
0.5,3200,3,30000,0.8377,0.8964,1,5000,0.3882,36,241,241,0.1218,34.0,0.1273,0.6847,0.8344,0.8333,0.8372
