imposed_cv,imposed_T,seed,tick,realized_interval,cell_S,n_intervals,n_divisions
0.0,3200,15,16000,3200.0,0.29999,3,4
0.0,3200,15,16000,3200.0,0.29999,2,3
0.0,3200,15,16000,3200.0,0.29999,1,2
0.0,3200,15,16000,3200.0,0.29999,1,2
0.0,3200,15,16000,-1.0,0.29998,0,0
0.0,3200,15,16000,-1.0,0.29998,0,0
0.0,3200,15,16000,-1.0,0.29998,0,0
0.0,3200,15,16000,-1.0,0.29998,0,0
0.0,3200,15,16000,-1.0,0.0,0,0
0.0,3200,15,16000,-1.0,0.0,0,0
0.0,3200,15,16000,-1.0,0.0,0,0
0.0,3200,15,16000,-1.0,0.0,0,0
0.0,3200,15,16000,-1.0,0.0,0,0
0.0,3200,15,16000,-1.0,0.0,0,0
0.0,3200,15,16000,-1.0,0.0,0,0
0.0,3200,15,16000,-1.0,0.0,0,0
0.0,3200,15,16200,3200.0,0.40398,3,4
0.0,3200,15,16200,3200.0,0.40398,2,3
0.0,3200,15,16200,3200.0,0.40398,1,2
0.0,3200,15,16200,3200.0,0.40398,1,2
0.0,3200,15,16200,-1.0,0.40398,0,0
0.0,3200,15,16200,-1.0,0.40398,0,0
0.0,3200,15,16200,-1.0,0.40398,0,0
0.0,3200,15,16200,-1.0,0.40398,0,0
0.0,3200,15,16200,-1.0,0.24566,0,0
0.0,3200,15,16200,-1.0,0.24566,0,0
0.0,3200,15,16200,-1.0,0.24566,0,0
0.0,3200,15,16200,-1.0,0.24566,0,0
0.0,3200,15,16200,-1.0,0.24566,0,0
0.0,3200,15,16200,-1.0,0.24566,0,0
0.0,3200,15,16200,-1.0,0.24566,0,0
0.0,3200,15,16200,-1.0,0.24566,0,0
0.0,3200,15,16400,3200.0,0.68546,3,4
0.0,3200,15,16400,3200.0,0.68546,2,3
0.0,3200,15,16400,3200.0,0.68546,1,2
0.0,3200,15,16400,3200.0,0.68546,1,2
0.0,3200,15,16400,-1.0,0.68546,0,0
0.0,3200,15,16400,-1.0,0.68546,0,0
0.0,3200,15,16400,-1.0,0.68546,0,0
0.0,3200,15,16400,-1.0,0.68546,0,0
0.0,3200,15,16400,-1.0,0.60191,0,0
0.0,3200,15,16400,-1.0,0.60191,0,0
0.0,3200,15,16400,-1.0,0.60191,0,0
