imposed_cv,imposed_T,seed,steady_S,n_obs,n_pop_samples,final_pop,frac_lt2_div,frac_lt4_div,mean_realized_interval
0.0,3200,15,0.80475,416,81,32,0.75,0.9375,3200.0
0.0,3200,5,0.0,405,81,15,0.2222,0.2222,3200.0
0.0,3200,10,0.81165,144,81,2,0.5903,0.7986,3200.0
0.0,3200,3,0.8098,736,81,32,0.7174,0.9293,3200.0
0.0,3200,11,0.8098,736,81,32,0.7174,0.9293,3200.0
0.0,3200,14,0.81116,550,81,22,0.16,0.7164,3200.0
0.0,3200,9,0.8139,625,81,25,0.2624,0.7584,3200.0
0.0,3200,1,0.80238,575,81,23,0.16,0.4661,3200.0
0.0,3200,8,0.81573,800,81,32,0.48,0.87,3200.0
0.0,3200,2,0.81396,600,81,24,0.16,0.48,3200.0
0.0,3200,12,0.81084,600,81,24,0.16,0.48,3200.0
0.0,3200,4,0.81205,650,81,26,0.16,0.7523,3200.0
0.0,3200,0,0.81568,800,81,32,0.16,0.74,3200.0
0.0,3200,7,0.81573,800,81,32,0.16,0.74,3200.0
0.0,3200,13,0.81573,800,81,32,0.16,0.74,3200.0
0.0,3200,6,0.81566,800,81,32,0.16,0.74,3200.0
0.0,3200,17,0.81572,799,81,32,0.4793,0.8698,3200.0
0.0,6400,0,0.90603,416,81,32,0.75,1.0,6400.0
0.0,6400,1,0.9031,506,81,22,0.7016,1.0,6400.0
0.0,3200,16,0.81573,825,81,33,0.4897,0.8739,3200.0
0.0,3200,21,0.80602,746,81,32,0.7172,0.9263,3200.0
0.0,3200,18,0.81573,800,81,32,0.48,0.87,3200.0
0.0,6400,5,0.0,360,81,15,0.125,1.0,6400.0
0.0,6400,2,0.91024,552,81,24,0.7174,1.0,6400.0
0.0,3200,20,0.81573,800,81,32,0.48,0.87,3200.0
0.0,6400,3,0.24824,398,81,8,0.2663,1.0,6400.0
0.0,3200,22,0.81401,600,81,24,0.16,0.74,3200.0
0.0,6400,6,0.90604,416,81,32,0.75,1.0,6400.0
0.0,6400,4,0.73699,446,81,27,0.7287,1.0,6400.0
0.0,3200,24,0.81246,575,81,23,0.16,0.7287,3200.0
0.0,3200,19,0.81567,800,81,32,0.16,0.74,3200.0
0.0,3200,23,0.81571,800,81,32,0.16,0.74,3200.0
0.0,6400,8,0.90608,260,81,20,0.7808,1.0,6400.0
0.0,6400,9,0.90605,312,81,24,0.75,1.0,6400.0
0.0,6400,10,0.90423,312,81,24,0.8013,1.0,6400.0
0.0,6400,7,0.90608,416,81,32,0.75,1.0,6400.0
0.0,6400,16,0.81939,234,81,18,0.688,1.0,6400.0
0.0,6400,17,0.90606,208,81,16,0.75,1.0,6400.0
0.0,6400,14,0.90608,312,81,24,0.75,1.0,6400.0
0.0,6400,15,0.0,360,81,15,0.125,1.0,6400.0
0.0,6400,11,0.24824,398,81,8,0.2663,1.0,6400.0
0.0,6400,18,0.90608,208,81,16,0.75,1.0,6400.0
