lipid_supply,imposed_cv,imposed_T,seed,tick,n_intervals,min_interval,max_interval,mean_interval,last_interval,cell_S,rv
0.008,,,5,16000,6,1680.0,2277.0,2054.0,1680.0,0.0,0.2163
0.008,,,5,16000,7,1730.0,2245.0,2027.43,2245.0,0.0,0.6578
0.008,,,5,16000,2,1772.0,2037.0,1904.5,2037.0,0.81129,0.5642
0.008,,,5,16000,2,1855.0,2364.0,2109.5,2364.0,0.0,0.8953
0.008,,,5,16000,1,2103.0,2103.0,2103.0,2103.0,0.78558,0.587
0.008,,,5,16000,0,-1.0,-1.0,-1.0,-1.0,0.8339,0.5641
0.008,,,5,16000,0,-1.0,-1.0,-1.0,-1.0,0.90034,0.4148
0.008,,,5,16000,0,-1.0,-1.0,-1.0,-1.0,0.7854,0.532
0.008,,,5,16000,0,-1.0,-1.0,-1.0,-1.0,0.87401,0.3676
0.008,,,5,16000,0,-1.0,-1.0,-1.0,-1.0,0.76127,0.4569
0.008,,,5,16000,0,-1.0,-1.0,-1.0,-1.0,0.72871,0.5689
0.008,,,5,16000,0,-1.0,-1.0,-1.0,-1.0,0.69172,0.5632
0.008,,,5,16000,0,-1.0,-1.0,-1.0,-1.0,0.69172,0.5805
0.008,,,5,16000,0,-1.0,-1.0,-1.0,-1.0,0.0,0.7621
0.008,,,5,16000,0,-1.0,-1.0,-1.0,-1.0,0.0,0.813
0.008,,,5,16200,6,1680.0,2277.0,2054.0,1680.0,0.0,0.1936
0.008,,,5,16200,2,1772.0,2037.0,1904.5,2037.0,0.90041,0.4726
0.008,,,5,16200,1,2103.0,2103.0,2103.0,2103.0,0.88684,0.4888
0.008,,,5,16200,0,-1.0,-1.0,-1.0,-1.0,0.91235,0.4763
0.008,,,5,16200,0,-1.0,-1.0,-1.0,-1.0,0.9474,0.3554
0.008,,,5,16200,0,-1.0,-1.0,-1.0,-1.0,0.88675,0.4477
0.008,,,5,16200,0,-1.0,-1.0,-1.0,-1.0,0.93351,0.3212
0.008,,,5,16200,0,-1.0,-1.0,-1.0,-1.0,0.87401,0.3897
0.008,,,5,16200,0,-1.0,-1.0,-1.0,-1.0,0.85683,0.4792
0.008,,,5,16200,0,-1.0,-1.0,-1.0,-1.0,0.83731,0.4727
0.008,,,5,16200,0,-1.0,-1.0,-1.0,-1.0,0.83731,0.487
0.008,,,5,16400,7,1680.0,2277.0,2083.57,2261.0,0.0,0.7285
0.008,,,5,16400,2,1772.0,2037.0,1904.5,2037.0,0.94744,0.3851
0.008,,,5,16400,1,2103.0,2103.0,2103.0,2103.0,0.94028,0.3982
0.008,,,5,16400,0,-1.0,-1.0,-1.0,-1.0,0.95374,0.3903
0.008,,,5,16400,0,-1.0,-1.0,-1.0,-1.0,0.97224,0.2966
0.008,,,5,16400,0,-1.0,-1.0,-1.0,-1.0,0.94023,0.3709
0.008,,,5,16400,0,-1.0,-1.0,-1.0,-1.0,0.96491,0.2716
