lipid_supply,imposed_cv,imposed_T,seed,tick,n_intervals,min_interval,max_interval,mean_interval,last_interval,cell_S,rv
,0.0,3200,5,16000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.851
,0.0,3200,5,16000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.837
,0.0,3200,5,16000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.9269
,0.0,3200,5,16000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.8632
,0.0,3200,5,16000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.8385
,0.0,3200,5,16000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.8229
,0.0,3200,5,16000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.8069
,0.0,3200,5,16000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.8711
,0.0,3200,5,16000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.9552
,0.0,3200,5,16000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.8374
,0.0,3200,5,16000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.9979
,0.0,3200,5,16000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.9326
,0.0,3200,5,16000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.8946
,0.0,3200,5,16000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.9327
,0.0,3200,5,16000,4,3200.0,3200.0,3200.0,3200.0,0.0,0.8436
,0.0,3200,5,16000,0,-1.0,-1.0,-1.0,-1.0,0.0,0.8882
,0.0,3200,5,16000,0,-1.0,-1.0,-1.0,-1.0,0.0,0.7986
,0.0,3200,5,16000,0,-1.0,-1.0,-1.0,-1.0,0.0,0.6995
,0.0,3200,5,16000,0,-1.0,-1.0,-1.0,-1.0,0.0,0.8663
,0.0,3200,5,16000,0,-1.0,-1.0,-1.0,-1.0,0.0,0.9359
,0.0,3200,5,16000,0,-1.0,-1.0,-1.0,-1.0,0.0,0.8212
,0.0,3200,5,16000,0,-1.0,-1.0,-1.0,-1.0,0.0,0.8473
,0.0,3200,5,16000,0,-1.0,-1.0,-1.0,-1.0,0.0,0.852
,0.0,3200,5,16000,0,-1.0,-1.0,-1.0,-1.0,0.0,0.7004
,0.0,3200,5,16000,0,-1.0,-1.0,-1.0,-1.0,0.0,0.7941
,0.0,3200,5,16000,0,-1.0,-1.0,-1.0,-1.0,0.0,0.7383
,0.0,3200,5,16000,0,-1.0,-1.0,-1.0,-1.0,0.0,0.7375
,0.0,3200,5,16000,0,-1.0,-1.0,-1.0,-1.0,0.0,0.7459
,0.0,3200,5,16000,0,-1.0,-1.0,-1.0,-1.0,0.0,0.6526
,0.0,3200,5,16000,0,-1.0,-1.0,-1.0,-1.0,0.0,0.8753
,0.0,3200,5,16200,4,3200.0,3200.0,3200.0,3200.0,0.0,0.5911
,0.0,3200,5,16200,4,3200.0,3200.0,3200.0,3200.0,0.0,0.5815
,0.0,3200,5,16200,4,3200.0,3200.0,3200.0,3200.0,0.0,0.6329
,0.0,3200,5,16200,4,3200.0,3200.0,3200.0,3200.0,0.0,0.6041
