plant,seed,max_ticks,ungated_B,ungated_C,clock_first,both_fired,c_after_plant,gated_B,gated_C,final_pop,final_S
0,0,20000,5100,1300,0,1,1,5100,5150,37,0.9082
0,1,20000,5250,550,0,1,1,5250,5300,34,0.9652
0,2,20000,9600,600,0,1,1,9600,9650,35,0.9519
0,3,20000,3900,2400,0,1,1,3900,4200,38,0.8276
0,4,20000,4800,1350,0,1,1,4800,4850,38,0.7206
0,5,20000,3750,4400,1,1,1,3750,4400,36,0.8899
0,6,20000,8800,1300,0,1,1,8800,8850,37,0.8734
0,7,20000,4850,1300,0,1,1,4850,4900,47,0.5204
0,8,20000,3750,2250,0,1,1,3750,3900,34,0.9788
0,9,20000,4300,1400,0,1,1,4300,4350,39,0.679
0,10,20000,3650,2200,0,1,1,3650,3700,37,0.8991
0,11,20000,3650,2400,0,1,1,3650,3700,40,0.7268
0,12,20000,8050,600,0,1,1,8050,8100,35,0.9387
0,13,20000,4750,1300,0,1,1,4750,4800,42,0.6841
0,14,20000,4200,1400,0,1,1,4200,4250,42,0.611
0,15,20000,3900,-1,,0,,3900,-1,25,0.0
0,16,20000,3850,2250,0,1,1,3850,3900,43,0.6479
0,17,20000,3600,2250,0,1,1,3600,3650,34,0.9362
0,18,20000,4050,1650,0,1,1,4050,4100,47,0.5208
0,19,20000,4800,1300,0,1,1,4800,4850,38,0.8219
0,20,20000,3850,2350,0,1,1,3850,3900,35,0.8989
0,21,20000,3800,2400,0,1,1,3800,4200,41,0.7121
0,22,20000,4100,1400,0,1,1,4100,4150,37,0.7779
0,23,20000,5250,1300,0,1,1,5250,5300,36,0.8725
0,24,20000,4600,1400,0,1,1,4600,4650,43,0.5734
0,25,20000,4800,1350,0,1,1,4800,4850,41,0.7289
0,26,20000,3650,2300,0,1,1,3650,4050,43,0.609
0,27,20000,3750,2250,0,1,1,3750,3800,34,0.9597
0,28,20000,5650,400,0,1,1,5650,5700,35,0.9249
0,29,20000,4700,1400,0,1,1,4700,4750,42,0.6424
0,30,20000,4300,1400,0,1,1,4300,4350,38,0.6775
0,31,20000,4650,1400,0,1,1,4650,4700,43,0.6066
0,32,20000,4800,1400,0,1,1,4800,4850,43,0.5576
0,33,20000,3600,2350,0,1,1,3600,3650,41,0.6681
0,34,20000,5300,600,0,1,1,5300,5350,35,0.8328
0,35,20000,4800,1300,0,1,1,4800,4850,37,0.8823
0,36,20000,4750,1300,0,1,1,4750,4800,40,0.7555
0,37,20000,4800,1300,0,1,1,4800,4850,38,0.8446
0,38,20000,3850,2250,0,1,1,3850,3900,36,0.8757
0,39,20000,3450,-1,,0,,3450,-1,24,0.0
1000,0,20000,4700,1450,0,1,1,4700,4750,42,0.6674
1000,1,20000,5250,1350,0,1,1,5250,5300,35,0.9491
1000,2,20000,5100,1400,0,1,1,5100,5150,35,0.9659
1000,3,20000,3850,2350,0,1,1,3850,4200,43,0.6039
1000,4,20000,4700,1450,0,1,1,4700,4750,40,0.6383
1000,5,20000,3650,4400,1,1,1,3650,4400,36,0.8806
1000,6,20000,4900,1400,0,1,1,4900,4950,40,0.7654
1000,7,20000,5000,1400,0,1,1,5000,5050,36,0.892
1000,8,20000,3800,2250,0,1,1,3800,3850,36,0.8999
1000,9,20000,4200,1600,0,1,1,4200,4250,41,0.6241
1000,10,20000,3850,2250,0,1,1,3850,3900,36,0.9085
1000,11,20000,3650,2400,0,1,1,3650,3700,43,0.6595
1000,12,20000,5250,1350,0,1,1,5250,5300,36,0.9212
1000,13,20000,4800,1400,0,1,1,4800,4850,35,0.9892
1000,14,20000,4250,1600,0,1,1,4250,4300,36,0.8108
