max_cells,seed,tick,n_intervals,n_divisions,cell_S
20,5,32000,0,0,0.0
20,5,32000,0,0,0.0
20,5,32000,0,0,0.0
20,5,32000,0,0,0.0
20,5,32000,0,0,0.0
20,5,32000,0,0,0.0
20,5,32000,0,0,0.0
20,5,32000,0,0,0.0
20,5,32000,0,0,0.0
20,5,32000,0,0,0.0
20,5,32000,0,0,0.0
20,5,32000,0,0,0.0
20,5,32000,0,0,0.0
20,5,32000,0,0,0.0
20,5,32000,0,0,0.0
20,5,32000,0,0,0.0
20,5,32000,0,0,0.0
20,5,32000,0,0,0.0
20,5,32000,0,0,0.0
20,5,32000,0,0,0.0
20,5,32200,0,0,0.0
20,5,32200,0,0,0.0
20,5,32200,0,0,0.0
20,5,32200,0,0,0.0
20,5,32200,0,0,0.0
20,5,32200,0,0,0.0
20,5,32200,0,0,0.0
20,5,32200,0,0,0.0
20,5,32200,0,0,0.0
20,5,32200,0,0,0.0
20,5,32200,0,0,0.0
20,5,32200,0,0,0.0
20,5,32200,0,0,0.0
20,5,32200,0,0,0.0
20,5,32200,0,0,0.0
20,5,32200,0,0,0.0
20,5,32200,0,0,0.0
20,5,32200,0,0,0.0
20,5,32200,0,0,0.0
20,5,32200,0,0,0.0
20,5,32400,0,0,0.0
20,5,32400,0,0,0.0
20,5,32400,0,0,0.0
20,5,32400,0,0,0.0
20,5,32400,0,0,0.0
20,5,32400,0,0,0.0
20,5,32400,0,0,0.0
20,5,32400,0,0,0.0
20,5,32400,0,0,0.0
20,5,32400,0,0,0.0
20,5,32400,0,0,0.0
20,5,32400,0,0,0.0
20,5,32400,0,0,0.0
20,5,32400,0,0,0.0
20,5,32400,0,0,0.0
20,5,32400,0,0,0.0
20,5,32400,0,0,0.0
20,5,32400,0,0,0.0
20,5,32400,0,0,0.0
20,5,32400,0,0,0.0
20,5,32600,0,0,0.0
20,5,32600,0,0,0.0
20,5,32600,0,0,0.0
20,5,32600,0,0,0.0
20,5,32600,0,0,0.0
20,5,32600,0,0,0.0
20,5,32600,0,0,0.0
20,5,32600,0,0,0.0
20,5,32600,0,0,0.0
20,5,32600,0,0,0.0
20,5,32600,0,0,0.0
20,5,32600,0,0,0.0
20,5,32600,0,0,0.0
20,5,32600,0,0,0.0
20,5,32600,0,0,0.0
20,5,32600,0,0,0.0
20,5,32600,0,0,0.0
20,5,32600,0,0,0.0
20,5,32600,0,0,0.0
20,5,32600,0,0,0.0
20,5,32800,0,0,0.0
20,5,32800,0,0,0.0
20,5,32800,0,0,0.0
20,5,32800,0,0,0.0
20,5,32800,0,0,0.0
20,5,32800,0,0,0.0
20,5,32800,0,0,0.0
20,5,32800,0,0,0.0
20,5,32800,0,0,0.0
20,5,32800,0,0,0.0
20,5,32800,0,0,0.0
20,5,32800,0,0,0.0
20,5,32800,0,0,0.0
20,5,32800,0,0,0.0
20,5,32800,0,0,0.0
20,5,32800,0,0,0.0
20,5,32800,0,0,0.0
20,5,32800,0,0,0.0
20,5,32800,0,0,0.0
20,5,32800,0,0,0.0
20,5,33000,0,0,0.0
20,5,33000,0,0,0.0
20,5,33000,0,0,0.0
20,5,33000,0,0,0.0
20,5,33000,0,0,0.0
20,5,33000,0,0,0.0
20,5,33000,0,0,0.0
20,5,33000,0,0,0.0
20,5,33000,0,0,0.0
20,5,33000,0,0,0.0
20,5,33000,0,0,0.0
20,5,33000,0,0,0.0
20,5,33000,0,0,0.0
20,5,33000,0,0,0.0
20,5,33000,0,0,0.0
20,5,33000,0,0,0.0
20,5,33000,0,0,0.0
20,5,33000,0,0,0.0
20,5,33000,0,0,0.0
20,5,33000,0,0,0.0
20,5,33200,0,0,0.0
20,5,33200,0,0,0.0
20,5,33200,0,0,0.0
20,5,33200,0,0,0.0
20,5,33200,0,0,0.0
20,5,33200,0,0,0.0
20,5,33200,0,0,0.0
20,5,33200,0,0,0.0
20,5,33200,0,0,0.0
20,5,33200,0,0,0.0
20,5,33200,0,0,0.0
20,5,33200,0,0,0.0
20,5,33200,0,0,0.0
20,5,33200,0,0,0.0
20,5,33200,0,0,0.0
20,5,33200,0,0,0.0
20,5,33200,0,0,0.0
20,5,33200,0,0,0.0
20,5,33200,0,0,0.0
20,5,33200,0,0,0.0
20,5,33400,0,0,0.0
20,5,33400,0,0,0.0
20,5,33400,0,0,0.0
20,5,33400,0,0,0.0
20,5,33400,0,0,0.0
20,5,33400,0,0,0.0
20,5,33400,0,0,0.0
20,5,33400,0,0,0.0
20,5,33400,0,0,0.0
20,5,33400,0,0,0.0
20,5,33400,0,0,0.0
20,5,33400,0,0,0.0
20,5,33400,0,0,0.0
20,5,33400,0,0,0.0
20,5,33400,0,0,0.0
20,5,33400,0,0,0.0
20,5,33400,0,0,0.0
