variant,seed,max_ticks,rhist_every,rhist_len,buffer_ticks,sample_interval,def_S,def_CV,def_clock_r,xB,xC,ss_clock_r,ss_cv,final_pop,total_divisions,T_div
buf24000,40,40000,200,120,24000,50,150,4700,24000,4700,1350,0.692418,0.044831,38,590,2576.3
buf24000,41,40000,200,120,24000,50,150,3950,24000,3950,1550,0.712101,0.04316,43,606,2838.3
buf24000,42,40000,200,120,24000,50,150,3650,24000,3650,2250,0.688868,0.045104,42,611,2749.6
buf24000,43,40000,200,120,24000,50,150,3750,24000,3750,2250,0.715292,0.041319,41,601,2728.8
buf24000,44,40000,200,120,24000,50,-1,3600,30350,3600,-1,0.230675,0.165732,23,519,1772.6
buf24000,45,40000,200,120,24000,50,150,4350,24000,4350,1400,0.715557,0.043264,42,603,2786.1
buf24000,46,40000,200,120,24000,50,150,3850,24000,3850,2300,0.706247,0.042858,36,600,2400.0
buf24000,47,40000,200,120,24000,50,150,4250,24000,4250,1400,0.696664,0.04613,39,603,2587.1
buf24000,48,40000,200,120,24000,50,150,3800,24000,3800,2250,0.69898,0.042672,42,602,2790.7
buf24000,49,40000,200,120,24000,50,150,3700,24000,3700,2250,0.722611,0.043293,37,598,2474.9
buf24000,50,40000,200,120,24000,50,150,4150,24000,4150,1400,0.697245,0.043423,42,597,2814.1
buf24000,51,40000,200,120,24000,50,150,4350,24000,4350,1400,0.718678,0.043828,39,599,2604.3
buf24000,52,40000,200,120,24000,50,150,4350,24000,4350,1350,0.727463,0.042953,35,603,2321.7
buf24000,53,40000,200,120,24000,50,150,3950,24000,3950,2250,0.697852,0.042925,37,602,2458.5
buf24000,54,40000,200,120,24000,50,150,3700,24000,3700,2250,0.697157,0.048652,36,599,2404.0
buf24000,55,40000,200,120,24000,50,150,5300,24000,5300,450,0.717627,0.043701,38,597,2546.1
buf24000,56,40000,200,120,24000,50,150,4750,24000,4750,1300,0.71915,0.041741,40,596,2684.6
buf24000,57,40000,200,120,24000,50,150,4700,24000,4700,1500,0.690888,0.045239,37,592,2500.0
buf24000,58,40000,200,120,24000,50,150,3750,24000,3750,2300,0.68086,0.050077,39,605,2578.5
buf24000,59,40000,200,120,24000,50,150,5300,24000,5300,1250,0.706713,0.044404,38,599,2537.6
buf24000,60,40000,200,120,24000,50,150,3900,24000,3900,2450,0.698807,0.04784,39,596,2617.4
buf24000,61,40000,200,120,24000,50,150,4600,24000,4600,1250,0.704042,0.044109,39,590,2644.1
buf24000,62,40000,200,120,24000,50,150,3750,24000,3750,2600,0.708653,0.042902,42,593,2833.1
buf24000,63,40000,200,120,24000,50,150,4800,24000,4800,1350,0.722536,0.044686,41,601,2728.8
buf24000,64,40000,200,120,24000,50,150,4250,24000,4250,1300,0.703773,0.043429,42,604,2781.5
buf24000,65,40000,200,120,24000,50,150,4350,24000,4350,1450,0.715481,0.046016,38,595,2554.6
buf24000,66,40000,200,120,24000,50,150,3850,24000,3850,2250,0.701214,0.043176,37,599,2470.8
buf24000,67,40000,200,120,24000,50,150,4150,24000,4150,1350,0.716148,0.041836,39,603,2587.1
buf24000,68,40000,200,120,24000,50,150,3800,24000,3800,2250,0.714634,0.044118,37,599,2470.8
buf24000,69,40000,200,120,24000,50,150,3650,24000,3650,2500,0.696772,0.046101,36,591,2436.5
buf24000,70,40000,200,120,24000,50,150,3950,24000,3950,2300,0.70227,0.047119,35,594,2356.9
buf24000,71,40000,200,120,24000,50,150,4350,24000,4350,1350,0.721347,0.041318,35,600,2333.3
buf24000,72,40000,200,120,24000,50,150,4250,24000,4250,1350,0.703724,0.046574,41,602,2724.3
buf24000,73,40000,200,120,24000,50,150,3800,24000,3800,2250,0.698347,0.040578,36,598,2408.0
buf24000,74,40000,200,120,24000,50,150,4150,24000,4150,1500,0.694129,0.044104,38,598,2541.8
buf24000,75,40000,200,120,24000,50,150,4200,24000,4200,1300,0.698752,0.045837,34,597,2278.1
buf24000,76,40000,200,120,24000,50,150,4750,24000,4750,1300,0.70061,0.043973,41,599,2737.9
buf24000,77,40000,200,120,24000,50,150,4250,24000,4250,1400,0.711242,0.049719,43,603,2852.4
buf24000,78,40000,200,120,24000,50,150,4250,24000,4250,1350,0.701077,0.047582,46,608,3026.3
buf24000,79,40000,200,120,24000,50,150,4150,24000,4150,1450,0.71633,0.045439,43,602,2857.1
