variant,seed,max_ticks,rhist_every,rhist_len,buffer_ticks,sample_interval,def_S,def_CV,def_clock_r,xB,xC,ss_clock_r,ss_cv,final_pop,total_divisions,T_div
buf1200,0,40000,10,120,1200,50,150,5100,1200,5100,1300,0.869888,0.043668,40,608,2631.6
buf1200,1,40000,10,120,1200,50,150,5250,1200,5250,550,0.86505,0.041815,35,596,2349.0
buf1200,2,40000,10,120,1200,50,150,5350,1200,9600,600,0.866797,0.042749,38,609,2495.9
buf1200,3,40000,10,120,1200,50,150,3900,1200,3900,2400,0.867123,0.046293,36,594,2424.2
buf1200,4,40000,10,120,1200,50,150,4800,1200,4800,1350,0.86715,0.044842,38,592,2567.6
buf1200,5,40000,10,120,1200,50,1000,3750,1200,3750,4400,0.867169,0.047631,39,597,2613.1
buf1200,6,40000,10,120,1200,50,150,4950,1200,8800,1300,0.86619,0.04685,38,599,2537.6
buf1200,7,40000,10,120,1200,50,150,4850,1200,4850,1300,0.868086,0.046738,45,596,3020.1
buf1200,8,40000,10,120,1200,50,150,3750,1200,3750,2250,0.865409,0.045449,35,595,2352.9
buf1200,9,40000,10,120,1200,50,150,4300,1200,4300,1400,0.868342,0.044963,42,596,2818.8
buf1200,10,40000,10,120,1200,50,150,3650,1200,3650,2200,0.866489,0.047812,36,604,2384.1
buf1200,11,40000,10,120,1200,50,150,3650,1200,3650,2400,0.86662,0.043421,38,590,2576.3
buf1200,12,40000,10,120,1200,50,150,5350,1200,8050,600,0.867796,0.043192,37,606,2442.2
buf1200,13,40000,10,120,1200,50,150,4750,1200,4750,1300,0.867185,0.047794,40,594,2693.6
buf1200,14,40000,10,120,1200,50,150,4200,1200,4200,1400,0.867219,0.04385,39,598,2608.7
buf1200,15,40000,10,120,1200,50,-1,3900,1200,3900,-1,0.819067,0.125048,17,539,1261.6
buf1200,16,40000,10,120,1200,50,150,3850,1200,3850,2250,0.868451,0.045126,38,595,2554.6
buf1200,17,40000,10,120,1200,50,150,3600,1200,3600,2250,0.866584,0.043549,38,601,2529.1
buf1200,18,40000,10,120,1200,50,150,4050,1200,4050,1650,0.869227,0.039811,39,598,2608.7
buf1200,19,40000,10,120,1200,50,150,4800,1200,4800,1300,0.867456,0.042858,40,596,2684.6
buf1200,20,40000,10,120,1200,50,150,3850,1200,3850,2350,0.865701,0.043332,37,599,2470.8
buf1200,21,40000,10,120,1200,50,150,3800,1200,3800,2400,0.866359,0.050136,35,594,2356.9
buf1200,22,40000,10,120,1200,50,150,4100,1200,4100,1400,0.866998,0.046468,37,598,2474.9
buf1200,23,40000,10,120,1200,50,150,5250,1200,5250,1300,0.867514,0.0431,37,592,2500.0
buf1200,24,40000,10,120,1200,50,150,4600,1200,4600,1400,0.868686,0.046633,37,595,2487.4
buf1200,25,40000,10,120,1200,50,150,4800,1200,4800,1350,0.866193,0.043485,38,595,2554.6
buf1200,26,40000,10,120,1200,50,150,3650,1200,3650,2300,0.867121,0.045523,39,595,2621.8
buf1200,27,40000,10,120,1200,50,150,3750,1200,3750,2250,0.865651,0.041982,37,598,2474.9
buf1200,28,40000,10,120,1200,50,150,5650,1200,5650,400,0.867837,0.044091,42,607,2767.7
buf1200,29,40000,10,120,1200,50,150,4700,1200,4700,1400,0.866569,0.043257,41,593,2765.6
buf1200,30,40000,10,120,1200,50,150,4300,1200,4300,1400,0.866774,0.04117,45,599,3005.0
